"bassin_X","bassin_Z","Hip_R_X","Hip_R_Z","Hip_L_X","Hip_L_Z","genoux_droit_X","genoux_droit_Z","genoux_gauche_X","genoux_gauche_Z","cheville_droite_X","cheville_droite_Z","cheville_gauche_X","cheville_gauche_Z","pied_droit_X","pied_droit_Z","pied_gauche_X","pied_gauche_Z","tronc_X","tronc_Z","Heel_R_Z","Heel_L_Z","angle_genoux_droit","angle_genoux_gauche","angle_cheville_droite","angle_cheville_gauche","angle_bassin_gauche","angle_bassin_droit","Contact_R","Contact_L"
-22.2109104773881,1316.37808483018,-22.2109104773881,1316.37808483018,10.8543050226119,1309.07832283018,74.396732,806.0148,-21.5191625,783.424725,56.692789,361.57547,-431.922735,638.47993,299.19333,292.09836,-570.2076,432.39127,19.343819,1587.5988,274.6287,664.7179,192.999938130567,247.023761016624,103.706028752708,143.313502064363,181.778350228578,160.570434975852,FALSE,FALSE
-20.8422280482092,1317.33584167946,-20.8422280482092,1317.33584167946,12.0195069517908,1308.12847967946,64.75829,805.27855,19.812355,778.67238,19.6784875,364.72136,-389.25255,624.825425,258.09607,283.26312,-519.0703,408.0274,23.292904,1586.9965,272.286,642.2282,195.332797560901,250.232261021245,103.020921673362,141.523989417791,176.841794009056,161.214493065113,FALSE,FALSE
-20.3722704306151,1317.4404201646,-20.3722704306151,1317.4404201646,12.5657685693849,1308.1567161646,51.00343,803.17012,65.2937575,780.54657,-23.9287745,368.77085,-338.65071,609.89925,214.25456,279.51483,-451.73508,378.17502,25.367847,1586.8625,273.22308,615.187,197.688607471215,252.805297389635,100.755824658268,138.914708993518,171.662980684519,162.463076991279,FALSE,FALSE
-19.9181659286297,1317.17021292352,-19.9181659286297,1317.17021292352,12.7909610713703,1308.75131292352,30.7560045,800.02423,109.30262,788.745915,-69.34324,373.32235,-282.861525,592.797695,165.72768,275.23108,-369.94217,345.77914,26.974255,1586.7286,277.50684,584.4645,198.798632389526,253.964907169493,99.4477914508789,135.968320897373,166.564806905736,164.53513211044,FALSE,FALSE
-18.8915336646217,1316.74795286298,-18.8915336646217,1316.74795286298,12.8765081353783,1309.24473886298,1.3052055,796.57715,147.55519,800.66008,-121.417602,377.806885,-225.63327,572.14872,108.96796,268.06918,-278.17618,313.2494,28.915329,1586.327,284.401,549.79285,198.557011361111,253.352058214806,99.135988618677,132.952247619134,161.855053771539,167.72026329679,FALSE,FALSE
-17.712254123774,1316.35243573469,-17.712254123774,1316.35243573469,12.478832136226,1309.84113573469,-29.6516,796.376335,180.084935,814.24765,-171.919025,385.638125,-167.501415,548.45415,47.92448,257.5606,-179.98454,283.93246,30.0532,1585.9254,295.512,512.2431,197.789198165367,251.280619385613,101.119880780652,130.106400928151,157.672543016602,171.267444223511,FALSE,FALSE
-16.680112751083,1315.84353646083,-16.680112751083,1315.84353646083,11.603361348917,1310.50221846083,-59.1358625,799.421815,207.4608,827.9021,-218.47137,396.581765,-109.336085,524.79315,-13.788328,247.05203,-77.977684,261.84436,29.718533,1585.7247,311.2414,474.76025,196.880509126712,248.354104238218,104.569423730443,126.93429097114,154.145037166815,174.944728071222,FALSE,FALSE
-15.8197766056925,1315.20884005763,-15.8197766056925,1315.20884005763,10.2763069143075,1311.24099405763,-88.787463,804.4084,229.515425,840.1844,-264.689045,410.00197,-53.513439,503.60866,-79.71796,237.94907,21.954231,249.66245,28.312927,1585.5908,331.65616,440.75797,195.906740750231,245.018917397184,108.891348207667,123.388405992129,151.280401644456,178.859412603831,FALSE,FALSE
-15.1707645379568,1314.4630547959,-15.1707645379568,1314.4630547959,8.89053754204317,1312.1230527959,-118.53946,811.40295,244.47509,849.45474,-308.731375,424.32576,-1.7737413,483.695895,-149.79747,233.19678,115.12585,246.91817,26.639585,1585.5239,356.2208,410.50397,194.555871337793,240.935182664832,114.08729912767,119.773380882984,149.301009315923,182.84290385443,FALSE,FALSE
-14.734600389953,1313.512967165,-14.734600389953,1313.512967165,7.54626869004701,1313.055181165,-146.55118,820.40552,250.499115,854.4078,-351.43504,441.09262,49.5308885,460.60379,-222.08578,236.27573,201.0017,249.86325,24.631577,1585.5908,385.20306,381.5217,193.409204114784,234.947263360513,119.350644935475,117.256740991602,148.501927674622,186.733428712553,FALSE,FALSE
-14.6541010318893,1312.79130143556,-14.6541010318893,1312.79130143556,6.10067968811073,1313.70694943556,-171.483965,831.14833,247.052035,854.039685,-390.89241,459.265125,102.40846,434.767395,-290.82663,247.65443,281.38898,256.82434,22.221966,1585.8585,416.99652,353.2757,192.504309612248,226.696698827912,124.151318723073,115.799680417575,148.947044361656,190.345073260044,FALSE,FALSE
-14.6357480725907,1312.48374898598,-14.6357480725907,1312.48374898598,4.94903202740928,1313.85725898598,-191.93219,842.05857,235.00398,848.01565,-426.969635,480.282275,154.24855,411.10637,-347.5194,268.33694,355.75226,271.01428,19.946222,1586.0593,450.46335,328.84494,192.360122999125,216.754359606729,126.440068032326,114.336324505517,150.564060346016,193.446300927422,FALSE,FALSE
-14.455350035711,1312.59272612155,-14.455350035711,1312.59272612155,4.26464848428899,1313.81355212156,-204.48224,849.0531,211.94534,836.67042,-457.6587,503.909835,192.40073,392.06373,-384.53372,292.7677,413.3821,293.90558,18.60755,1586.1262,477.4376,310.2374,193.970492870773,206.038565466,124.63592080717,111.433344918326,153.463474258387,195.39895602048,FALSE,FALSE
-14.45074829397,1312.65691621744,-14.45074829397,1312.65691621744,3.20098814603,1313.62344621744,-208.096655,852.0986,186.7783,825.459025,-482.55802,529.84665,221.44992,380.852365,-425.1624,314.655,453.47534,322.4193,16.800343,1586.4609,506.01825,299.19333,197.616213322264,196.150033109338,124.644831213755,108.594427148313,156.537413952998,196.293383740725,FALSE,FALSE
-14.7840899009098,1312.58774185316,-14.7840899009098,1312.58774185316,1.46873505909025,1313.47796785316,-204.716515,851.563125,165.76114,815.95443,-502.10263,557.322875,240.19134,375.33034,-462.913,338.9519,479.044,341.83005,13.721395,1586.9965,538.6819,293.7717,202.914028292702,188.686384752613,124.521143918821,107.571832406648,159.160791808641,196.460034589321,FALSE,FALSE
-15.1140508379079,1312.26157683236,-15.1140508379079,1312.26157683236,-0.59078979790787,1313.48240283236,-194.17447,846.77737,147.387855,808.79254,-514.35148,586.137825,246.3827,372.552595,-494.9073,368.46964,490.02112,344.23965,10.307779,1587.5988,574.89294,290.02344,209.812230103798,183.556054326548,124.042601671099,109.414002702025,161.381670490547,195.765364990199,FALSE,FALSE
-15.169512631679,1311.64755725154,-15.169512631679,1311.64755725154,-2.80820953167899,1313.86037325154,-177.976525,837.74135,143.505705,808.55828,-518.7022,612.4762,249.96365,373.85779,-524.29114,402.6058,493.90326,342.7002,7.5635004,1588.1343,612.30884,288.81863,217.570190292794,182.387889663908,124.995476411618,111.039656565876,161.68562372618,194.259441570595,FALSE,FALSE
-14.8364887900273,1310.95759606958,-14.8364887900273,1310.95759606958,-4.6880111900273,1314.31501006958,-157.59524,826.529935,148.96079,812.94242,-515.8575,634.196175,241.36267,375.33035,-547.5171,438.88382,486.94217,334.5343,6.224828,1588.5359,646.98047,286.9445,225.350771146347,185.115131494596,127.436613818565,111.354814493448,160.683056687845,192.081002518865,FALSE,FALSE
-14.3578356511792,1310.5998962385,-14.3578356511792,1310.5998962385,-5.91348857117916,1314.4660162385,-133.766865,815.251645,156.0223,817.36005,-506.955315,653.67385,222.755125,375.59806,-559.96674,474.29172,463.917,309.36725,6.4256287,1588.8036,677.3014,284.66873,233.03585706007,189.45320012243,129.874542859682,113.946842518715,159.381307786333,189.280788967325,FALSE,FALSE
-14.2073771086207,1310.62855402385,-14.2073771086207,1310.62855402385,-5.8138972086207,1314.59640002385,-106.792605,804.374915,164.02087,819.87005,-491.96219,668.666985,193.003125,375.12954,-560.4353,503.07318,429.2454,300.86667,8.701372,1588.9375,700.5943,286.00742,240.22706309016,195.218347275154,131.874155060624,111.179067805242,158.024479036522,185.658255913681,FALSE,FALSE
-12.8451550896052,1310.38947017037,-12.8451550896052,1310.38947017037,-3.84124280960518,1315.24750417037,-78.145015,794.63605,160.94192,818.2302,-471.84865,676.3309,149.529735,373.05461,-553.4742,521.2791,389.8884,302.8747,16.465673,1588.3351,714.1149,286.6098,246.058989395777,199.811105902079,134.489286930737,104.808275960441,157.404650883271,181.195968589607,FALSE,FALSE
-11.3023555189355,1309.41658052547,-11.3023555189355,1309.41658052547,-1.86605111893551,1316.46204652547,-49.062351,786.135495,147.889855,815.1847,-447.283995,675.4942,101.103247,372.58605,-539.48505,525.2282,341.02686,293.63785,24.430775,1587.3981,715.2528,284.06635,250.345347212105,202.66770486994,137.060018894441,102.179815229969,157.82284242703,176.802396926729,FALSE,FALSE
-11.1356606540496,1308.76286829798,-11.1356606540496,1308.76286829798,-1.03805365404958,1317.02916029798,-17.0346095,780.446135,133.632995,811.7711,-415.18934,667.29485,58.064926,373.155,-510.77054,512.77856,294.508,286.87753,27.175055,1587.0634,703.8741,281.8575,253.495708849562,204.699974712949,137.604822601493,100.271516613875,159.110796678179,172.801666367399,FALSE,FALSE
-10.8418321069129,1308.7466641164,-10.8418321069129,1308.7466641164,-0.286398066912865,1317.2164841164,18.77488315,780.78078,116.698785,807.1861,-376.434735,655.1464,13.6544615,374.2594,-466.19275,488.14697,248.72537,280.4519,30.187069,1586.6617,683.794,280.85352,255.575595347067,206.306731835253,135.892014682493,98.3666801127082,160.629007791325,168.391329142095,FALSE,FALSE
-10.3210003518296,1308.98105390014,-10.3210003518296,1308.98105390014,0.997478248170372,1317.14561990014,54.2497075,787.5411,94.008285,802.467325,-336.37497,640.32058,-35.6421585,376.73595,-411.44104,454.88095,196.38327,272.82147,33.868416,1586.1262,657.4221,282.45993,256.40842278993,207.181096523587,132.688796708884,97.1882410875254,162.788953596754,163.881640926731,FALSE,FALSE
-9.81963522805908,1309.29422434742,-9.81963522805908,1309.29422434742,2.77058139194092,1316.92466234742,86.61212,798.685575,61.5789415,798.04968,-293.63784,619.638095,-92.4688125,380.149565,-345.91302,413.78372,133.39873,262.78143,38.085236,1585.3231,623.8215,286.409,255.480479907981,206.701273746218,129.4628861355,97.2227925551719,166.038129570378,159.459654290196,FALSE,FALSE
-9.85992481319634,1309.83917257817,-9.85992481319634,1309.83917257817,4.58702918680366,1316.57934657817,116.866125,812.20615,23.6275725,796.37633,-245.813765,594.97305,-150.701075,386.073195,-266.52972,369.27286,62.248276,249.86325,41.09725,1584.7207,583.5274,293.9725,253.366936457758,205.115768286322,126.164410969137,99.5848651496492,170.150056722172,155.210672436246,FALSE,FALSE
-10.6442316143836,1310.51480064979,-10.6442316143836,1310.51480064979,6.04098508561635,1315.93242264979,142.836375,825.62635,-14.4911315,798.250485,-194.743405,567.12865,-206.55719,395.544295,-176.83865,328.51025,-12.71739,235.47252,41.565784,1584.5199,538.8827,306.42218,250.121363064007,203.227013839118,123.151503763472,104.051427007626,174.736745216017,151.647935569704,FALSE,FALSE
-12.1594928466097,1311.36919285433,-12.1594928466097,1311.36919285433,6.78941615339031,1315.23523685433,163.4854,837.57402,-50.066357,802.76852,-141.12956,538.54802,-259.669025,408.562895,-82.66303,297.05145,-90.69507,221.55032,39.42391,1584.8545,494.03714,324.6281,245.871174525095,201.669172408999,120.86003373867,109.90084249583,179.42934565154,148.977945370505,FALSE,FALSE
-13.9334976614329,1312.07327092442,-13.9334976614329,1312.07327092442,6.97389105856712,1314.51499892442,178.44507,846.677,-85.775453,809.6627,-82.93077,505.85092,-311.17445,424.05801,15.66247,274.09323,-174.29518,210.84094,35.809494,1585.39,449.05774,348.5234,239.942701560471,199.89767426687,119.470153230304,116.992963958507,184.333603481324,147.226709689486,FALSE,FALSE
